length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
33,2,362,13057,16,331,87,0
32,3,2038,29219,2108,513,290,1013
33,2,2,8507,3,331,74,0
33,3,9,28620,10,529,92,0
33,1,2,4806,2,165,70,0
34,1,44,2412,45,170,181,0
33,2,2,8559,2,331,70,0
33,2,3,8912,2,331,70,0
32,3,10,27736,12,513,125,0
32,2,4,10685,4,321,74,0
18,2,178,4629,271,181,704,65
19,3,11,9244,24,305,86,0
19,3,25,9361,60,305,66,1
19,2,5,4318,12,191,67,0
19,3,71,8419,180,305,96,9
19,2,33,4708,90,191,77,4
19,3,8,9012,12,305,76,3
19,3,778,9283,685,305,739,99
19,2,9,4228,24,191,78,4
19,2,14,4120,32,191,83,0
40,2,144,14291,127,401,258,39
39,3,4,34023,3,625,91,0
39,3,3,35886,2,625,86,0
39,2,9,14498,7,391,214,0
39,2,1,13335,1,391,82,0
40,2,176,15015,133,401,653,6
38,4,5114,103261,4808,873,823,1703
41,1,1,6092,1,205,82,0
40,2,1,14148,1,401,82,0
40,1,7,5788,7,200,103,0
21,3,1944,14134,1004,337,1172,215
22,2,1,5259,2,221,50,0
21,3,10,14212,14,337,56,0
21,2,1193,7047,934,211,1379,519
22,2,8092,14667,7224,221,2093,1143
22,1,1,3125,2,110,50,0
21,2,54,5504,102,211,256,0
23,1,3,3142,7,115,52,0
31,2,1,10516,1,311,64,0
31,3,23,28002,21,497,77,0
31,2,450,11452,512,311,190,155
31,2,1396,11892,1632,311,316,332
32,1,10,4339,13,160,105,0
31,1,66,4679,102,155,280,0
31,2,199,10244,48,311,103,2
30,2,177,10886,125,301,184,20
15,2,13,3717,30,151,52,0
15,2,1,4666,4,151,48,0
15,1,2,2754,7,75,60,0
15,2,12,3918,30,151,52,0
15,2,10,4533,30,151,52,0
14,2,182,4459,569,141,246,152
15,2,10,3787,30,151,53,0
15,2,2,3688,4,151,38,0
15,2,3,3637,6,151,51,0
15,4,2891,19519,7412,344,398,122
35,2,3,12403,2,351,77,0
35,2,3,10910,4,351,79,0
35,1,2,5039,2,175,72,0
35,2,1,10292,2,351,76,0
35,2,228,11445,187,351,513,58
35,4,2,68399,2,804,76,0
35,3,6,27640,2,561,77,0
34,2,5,11210,5,341,112,0
35,1,1,4727,2,175,77,0
35,2,5,10901,6,351,93,0
38,3,5,39289,4,609,84,0
40,2,219,16325,217,401,175,0
39,1,50,5951,39,195,189,0
39,1,1,5733,1,195,80,0
39,2,2,15990,2,391,82,0
40,1,17,6126,17,200,124,0
39,2,6,14159,6,391,101,2
38,4,437,109292,240,873,107,49
39,3,2,51456,2,625,82,0
29,2,1,9071,2,291,62,0
28,3,20,19838,32,449,94,1
28,2,176,8221,110,281,214,69
29,2,39,8511,68,291,170,1
29,2,1,8501,2,291,62,0
30,2,9,9105,13,301,106,0
29,3,10,25773,14,465,83,5
29,3,223,21654,48,465,102,1
30,1,17,4362,16,150,92,0
29,2,2,8382,2,291,62,0
32,2,448,10103,220,321,1108,0
31,4,71,49404,98,712,80,4
32,2,303,10103,164,321,183,11
33,1,12,4576,16,165,99,0
32,1,1,4358,2,160,68,0
32,3,1361,29417,1584,513,203,339
33,1,2,4462,3,165,69,0
33,1,4,4523,7,165,72,0
33,2,5,9909,7,331,72,0
23,2,2,5970,4,231,62,0
23,4,17,27668,32,528,102,0
23,2,3,5350,6,231,65,1
23,2,25,5274,48,231,97,8
23,1,1,3115,2,115,52,0
23,2,2,5111,4,231,58,0
23,2,2,4905,6,231,64,1
23,2,56,5131,126,231,202,4
22,2,176,5225,197,221,603,43
23,3,4397,15500,4064,369,1096,140
37,2,644,26883,480,371,190,2
35,2,1,20826,1,351,74,0
35,3,5991,68709,4583,561,1310,639
36,1,0,7138,1,180,74,0
37,1,1,7482,1,185,74,0
36,1,1,6860,1,180,74,0
37,1,4,7349,5,185,91,0
36,3,10,67211,10,577,180,5
35,3,1,68082,1,561,74,0
15,2,2,3940,7,151,36,0
15,1,1,2852,3,75,40,0
15,2,0,3925,2,151,37,0
15,1,2,2842,7,75,36,0
15,1,4,2746,15,75,46,0
15,1,31,2844,102,75,246,0
15,2,1,3692,7,151,36,0
15,1,1,2881,4,75,49,0
15,2,1,4165,4,151,43,0
15,2,11,3799,35,151,58,0
21,1,8,3174,16,105,73,0
20,2,3,4576,7,201,48,0
20,3,53,9970,56,321,71,7
20,2,6,4651,14,201,50,0
20,2,9,5036,16,201,73,0
19,2,18,4606,38,191,130,10
21,1,8,3505,16,105,73,0
19,2,1,4777,2,191,44,0
20,2,1,4689,2,201,45,0
21,2,27,4956,55,211,127,1
42,1,2,6554,2,210,91,0
42,1,2,6426,2,210,90,0
42,3,6,40926,7,673,90,0
42,3,432,44986,98,673,102,0
42,3,83,46033,99,673,137,8
42,1,7,6575,7,210,90,0
42,2,16,16792,14,421,96,0
41,1,81,6195,59,205,224,0
42,2,627,19512,386,421,255,21
42,2,14,16734,14,421,96,0
15,1,6,3580,15,75,46,0
15,2,9,3848,30,151,48,0
15,2,1,3825,4,151,48,0
15,2,9,3703,8,151,58,0
14,3,232,7592,230,225,280,75
15,2,2,3871,4,151,48,0
15,2,11,3684,30,151,53,0
15,3,9,6976,30,241,53,0
15,3,3,8732,6,241,58,1
15,3,3,7750,8,241,61,0
32,2,509,10226,360,321,206,54
33,1,5,4415,7,165,72,0
33,2,105,9590,105,331,88,0
33,2,8,9612,10,331,102,2
33,2,26,9848,35,331,176,0
33,1,7,4489,7,165,72,0
33,1,2,4265,3,165,78,0
33,1,6,4685,10,165,97,0
33,1,4,4305,7,165,72,0
33,3,776,23424,735,529,94,4
20,2,13,4831,20,201,110,5
22,2,1781,7507,1113,221,961,61
22,1,17,3235,30,110,126,0
21,2,10,5273,13,211,90,0
22,1,0,3229,1,110,44,0
20,2,1,4980,2,201,46,0
21,2,1,5331,2,211,46,0
21,2,19,5076,32,211,78,1
20,2,3,4720,8,201,80,0
35,2,8,15071,9,351,111,0
35,1,1,4980,1,175,72,0
34,2,2,10775,3,341,86,0
35,1,1,5675,1,175,72,0
34,4,6123,77432,8130,781,278,1790
35,2,1,13203,1,351,72,0
34,3,42,31030,51,545,122,4
35,2,2,12363,3,351,86,0
36,2,168,13195,17,361,116,0
35,2,4,12502,6,351,82,0
35,1,2,4827,2,175,76,0
35,1,11,5571,15,175,86,0
35,2,4,10661,6,351,86,0
35,1,1,5142,2,175,76,0
35,2,6,10861,6,351,91,0
35,2,2,12303,4,351,78,0
35,2,4,10905,4,351,82,0
35,2,26,11127,34,351,115,0
35,2,11,11626,15,351,86,0
35,2,10,10738,15,351,113,0
26,1,0,3856,1,130,54,0
26,1,44,3662,58,130,190,0
26,3,9,21398,14,417,65,0
26,2,0,7605,1,261,54,0
25,2,1,6944,2,251,56,0
27,2,29,7393,49,271,66,0
26,2,1,7965,2,261,56,0
26,1,1,3705,2,130,56,0
27,1,1,3860,2,135,59,0
26,2,205,7899,139,261,331,58
32,2,1,9200,2,321,70,0
32,1,1,4357,2,160,70,0
32,2,313,10076,200,321,541,13
32,3,5,23115,6,513,80,0
32,3,7,24443,8,513,88,0
32,3,336,23477,210,513,120,9
32,4,368,56637,204,735,128,13
32,4,790,59982,960,735,209,51
32,3,16,24045,20,513,97,1
32,3,16,23637,8,513,88,0
18,3,1,11334,2,289,42,0
18,3,1,10029,2,289,42,0
18,2,3,5088,8,181,72,0
18,2,37,4601,96,181,162,37
18,2,3970,8631,5184,181,1835,1835
20,1,10,3064,15,100,92,0
19,3,1347,14241,1932,305,790,1030
17,4,30509,53236,156234,390,3044,-1
19,2,29,5612,45,191,66,16
19,1,1,3061,1,95,40,0
22,2,2,5546,4,221,55,0
22,2,10,5477,18,221,78,4
22,2,12,5087,30,221,67,1
22,2,74,5195,146,221,201,1
22,3,166,12967,290,353,174,7
22,2,13,5579,30,221,67,0
22,3,20,13163,30,353,66,0
22,1,5,3729,15,110,60,0
22,2,13,5293,30,221,66,0
22,3,5,13522,4,353,60,0
35,3,49,30150,64,561,165,26
37,3,55,35674,60,593,155,2
37,2,28,13255,32,371,163,0
37,2,33,13240,36,371,170,2
35,4,7715,93529,1937,804,2117,591
38,1,1,5803,1,190,76,0
36,2,3,11632,4,361,80,0
36,2,12,12799,14,361,153,4
36,2,2,12315,2,361,78,0
36,1,25,5368,32,180,168,0
37,1,29,5380,28,185,134,0
37,2,682,15501,720,371,218,0
36,2,34,12365,49,361,116,10
36,2,740,16339,187,361,1721,0
37,2,108,12765,140,371,110,2
37,1,4,6109,7,185,80,0
35,2,6,11478,7,351,110,0
37,2,42,14176,49,371,86,0
37,1,7,5245,7,185,80,0
15,3,21,7217,60,241,64,1
15,2,155,3914,50,151,121,0
15,2,9,3556,30,151,52,0
15,3,2,6216,6,241,42,0
15,3,7,6702,14,241,67,0
15,1,1,2774,3,75,40,0
15,3,107,6739,252,241,136,0
15,1,0,2922,2,75,37,0
15,2,15,3683,38,151,94,2
15,2,23,3502,63,151,183,0
40,2,2,29628,2,401,86,0
40,2,3,26391,4,401,91,0
40,2,159,28295,2,401,86,0
40,2,275,26395,162,401,389,40
29,2,5,9993,7,291,64,0
29,3,745,22233,896,465,105,16
29,1,9,4087,13,145,104,0
29,1,4,3895,7,145,64,0
