lev_dist,sample_ms,length
2,1549,18
1,967,37
1,576,13
1,725,31
1,82,13
2,116,24
2,1976,32
2,288,36
1,3570,62
2,1303,78
1,286,27
1,65,11
2,2641,126
1,1667,55
2,56,22
1,342,29
1,467,18
1,300,27
1,272,16
1,2199,57
1,4119,75
2,4245,146
2,1416,90
1,205,20
1,366,17
2,706,68
2,1489,54
2,918,74
1,125,16
2,542,58
2,389,58
1,4737,63
2,142,30
2,968,78
2,434,58
1,1024,45
1,3483,70
1,608,26
2,1260,90
2,879,38
1,563,21
2,2273,122
2,120,14
1,1598,30
1,1097,38
1,62,12
2,924,46
1,613,33
1,2243,61
1,280,19
2,1570,102
2,1441,98
2,2300,122
1,902,27
1,556,35
1,3421,63
2,1175,84
2,3944,136
1,714,26
2,2896,120
2,4049,144
1,110,18
1,5579,47
1,1203,47
1,955,30
1,2276,55
2,2217,106
1,1207,36
1,1206,46
3,524,57
1,2320,58
1,855,41
1,3738,73
2,113,16
2,265,26
1,646,30
1,4086,73
1,805,34
1,254,26
2,17742,124
1,1192,48
2,3818,66
2,9889,94
3,1166,126
1,562,33
1,286,14
1,1452,50
1,2511,64
1,576,31
2,1394,82
1,290,28
2,4760,120
3,3390,135
1,4351,73
1,3090,45
1,614,28
2,4309,154
1,667,36
1,2867,52
1,5575,77
1,489,31
1,1848,50
2,4271,144
2,484,54
1,820,35
1,1054,42
2,3934,150
1,397,28
1,4091,76
1,736,37
2,96,32
1,2432,64
1,1436,52
1,169,10
2,677,64
2,339,42
2,1836,98
2,1435,90
2,3188,116
1,775,41
1,54,9
2,120,36
1,3335,67
1,451,27
1,303,28
1,427,31
1,1809,57
1,1335,42
1,216,18
2,816,60
1,978,45
1,846,39
2,463,30
1,157,12
2,714,38
1,872,42
1,163,20
1,398,17
1,2462,19
1,198,23
1,367,19
1,310,26
1,3317,69
2,1691,98
2,1476,86
1,249,15
1,4157,77
1,856,42
1,121,17
2,831,82
1,758,20
1,558,36
1,149,18
1,496,22
1,2332,62
1,569,24
1,376,29
2,192,28
2,182,42
1,939,17
1,993,40
2,10979,38
1,297,24
1,70,8
3,18648,207
1,285,18
1,2095,57
1,670,23
1,336,29
1,1004,25
2,4436,156
3,3254,153
1,396,30
2,1445,104
2,652,46
2,1557,42
2,974,66
1,3449,72
1,1492,38
2,118,34
2,933,60
1,2403,58
1,2802,54
1,1186,43
1,423,20
1,1536,26
1,76,15
3,10954,96
1,19,5
1,5718,78
1,670,39
1,281,26
1,874,43
1,1863,44
1,67,13
2,374,60
1,471,17
2,541,48
2,25769,132
1,1152,43
1,266,24
2,1829,100
2,1638,94
2,1360,92
1,956,43
1,363,29
2,4446,70
1,1478,48
2,1482,102
1,992,39
1,153,16
1,693,36
3,680,108
1,1936,57
1,390,14
2,2163,118
1,5587,66
1,2022,52
1,1252,31
1,384,30
2,150,26
2,947,82
1,248,20
1,150,20
1,1961,42
2,1189,66
2,312,52
2,182,34
2,178,34
1,464,27
1,106,11
1,581,21
1,99,11
1,720,33
1,536,29
1,6622,56
2,253,40
1,2275,61
2,1030,54
1,99,12
1,4706,78
1,158,9
1,5312,78
1,3852,64
2,20964,68
1,935,43
1,573,36
2,315,52
1,1219,33
2,25,16
2,152,40
2,2119,106
1,1063,21
2,2414,118
1,59,13
1,243,19
2,26227,82
1,199,23
2,259,38
1,185,12
1,1062,29
1,2021,59
1,290,25
1,585,34
1,19,5
1,974,39
2,2519,126
1,186,20
1,260,25
1,4492,74
