length, lev_dist, lev_margin, lang_size, time
15, 1, 0, 7, 568.630167ms
23, 1, 0, 57, 607.295208ms
6, 2, 1, 809, 608.866750ms
16, 1, 0, 67, 611.350292ms
16, 2, 0, 121, 717.871708ms
29, 1, 0, 5, 785.142291ms
28, 1, 0, 7, 268.254708ms
39, 1, 0, 102, 959.951167ms
47, 1, 0, 60, 1.089486750s
37, 1, 0, 50, 545.992375ms
33, 1, 0, 8, 272.607208ms
30, 1, 0, 2, 572.261417ms
35, 1, 0, 37, 304.587167ms
21, 1, 0, 26, 124.615459ms
35, 1, 0, 5, 320.152042ms
18, 1, 0, 62, 111.837708ms
23, 1, 0, 35, 59.516500ms
42, 1, 0, 78, 761.471583ms
54, 1, 0, 4, 1.786370958s
57, 1, 0, 8, 1.809429167s
24, 1, 0, 63, 140.579333ms
62, 1, 0, 15, 1.972855834s
55, 1, 0, 57, 831.456542ms
66, 1, 0, 102, 2.026242542s
36, 1, 0, 4, 298.447334ms
24, 2, 1, 12540, 978.783250ms
16, 1, 0, 4, 50.372ms
30, 1, 0, 55, 228.583042ms
11, 2, 0, 3, 90.608041ms
12, 1, 0, 6, 16.001834ms
33, 1, 0, 67, 288.619917ms
9, 1, 0, 66, 13.736375ms
57, 1, 0, 16, 877.050375ms
43, 1, 0, 82, 486.594ms
36, 3, 1, 53800, 2.701693042s
25, 1, 0, 2, 141.488125ms
70, 1, 0, 39, 1.435254458s
43, 1, 0, 150, 540.908250ms
59, 2, 1, 34162, 2.091815583s
51, 2, 1, 700, 1.394734458s
31, 1, 0, 8, 198.867250ms
18, 2, 1, 519, 94.535958ms
42, 1, 0, 51, 418.537167ms
28, 2, 1, 4184, 457.946917ms
27, 1, 0, 5, 172.412667ms
65, 2, 1, 83294, 3.917481500s
11, 1, 0, 2, 52.271459ms
56, 1, 0, 8, 896.263459ms
19, 1, 0, 29, 50.219333ms
13, 1, 0, 41, 26.019208ms
23, 1, 0, 35, 59.472875ms
49, 1, 0, 100, 529.531292ms
31, 1, 0, 28, 136.593708ms
26, 1, 0, 34, 89.972667ms
62, 2, 1, 55274, 5.323402708s
19, 1, 0, 144, 48.157959ms
93, 1, 0, 7, 3.296083583s
52, 1, 0, 26, 663.871042ms
15, 2, 1, 15979, 424.941541ms
53, 2, 1, 13841, 2.114029125s
41, 2, 1, 23538, 1.081044750s
18, 1, 0, 64, 38.333542ms
33, 2, 1, 9101, 994.020083ms
54, 1, 0, 56, 739.894875ms
24, 1, 0, 46, 188.269708ms
24, 1, 0, 2, 75.848334ms
22, 1, 0, 4, 69.256792ms
66, 2, 0, 1795, 3.738702209s
98, 1, 0, 32, 3.649671208s
34, 1, 0, 9, 243.895625ms
51, 2, 1, 1022, 1.366366083s
21, 1, 0, 48, 99.253875ms
16, 1, 0, 48, 43.107917ms
45, 1, 0, 78, 571.850792ms
24, 2, 1, 27172, 277.059ms
79, 1, 0, 5, 2.151128625s
15, 1, 0, 81, 48.778916ms
14, 1, 0, 14, 28.332917ms
38, 3, 2, 1761664, 9.344333583s
34, 2, 0, 1245, 819.889833ms
16, 1, 0, 4, 57.535459ms
32, 3, 2, 3855870, 9.129971625s
21, 1, 0, 3, 90.231792ms
30, 1, 0, 35, 203.416584ms
36, 2, 1, 8140, 1.004641916s
20, 1, 0, 64, 44.796125ms
91, 2, 0, 49, 9.141382916s
93, 1, 0, 8, 3.299788917s
29, 1, 0, 37, 141.556167ms
54, 1, 0, 4, 753.703208ms
41, 2, 1, 32883, 930.810917ms
20, 3, 2, 852624, 10.805095s
71, 3, 0, 392, 10.418043333s
51, 2, 1, 14603, 1.251504s
39, 1, 0, 17, 366.028959ms
40, 2, 1, 32882, 822.577667ms
22, 1, 0, 64, 225.806042ms
52, 2, 1, 8119, 1.987182833s
46, 1, 0, 23, 551.400125ms
20, 1, 0, 48, 77.745500ms
5, 2, 1, 113, 16.045459ms
18, 1, 0, 40, 64.296542ms
89, 2, 1, 49372, 5.694965167s
23, 2, 0, 1716, 243.117083ms
42, 1, 0, 3, 411.535958ms
55, 2, 1, 4266, 1.668232500s
27, 1, 0, 14, 106.415625ms
96, 1, 0, 29, 3.588331583s
93, 1, 0, 94, 3.065383250s
45, 3, 2, 14663997, 13.431363750s
26, 1, 0, 2, 103.022291ms
92, 2, 1, 14839, 6.399473708s
17, 1, 0, 58, 58.060667ms
21, 1, 0, 86, 64.084417ms
28, 1, 0, 15, 135.807666ms
29, 2, 1, 26412, 453.810333ms
29, 1, 0, 70, 132.476875ms
10, 2, 1, 7799, 171.191500ms
9, 2, 0, 549, 52.484208ms
89, 1, 0, 58, 2.670850833s
52, 1, 0, 30, 492.060667ms
47, 1, 0, 14, 584.425500ms
51, 1, 0, 102, 692.386916ms
26, 1, 0, 95, 89.147834ms
24, 2, 1, 23211, 1.405549291s
49, 2, 1, 41879, 1.749075625s
34, 1, 0, 2, 170.800709ms
16, 1, 0, 23, 27.850917ms
22, 1, 0, 42, 160.150292ms
51, 2, 1, 31387, 1.933034459s
32, 1, 0, 5, 139.518375ms
12, 2, 1, 5880, 104.461791ms
33, 1, 0, 8, 173.682166ms
60, 1, 0, 254, 940.889416ms
32, 1, 0, 37, 147.899084ms
21, 2, 0, 1001, 172.552500ms
96, 1, 0, 20, 3.256500416s
33, 1, 0, 110, 261.623916ms
65, 3, 1, 127928, 5.190203750s
26, 1, 0, 28, 107.603459ms
41, 2, 1, 57332, 874.694459ms
38, 2, 1, 23940, 781.032167ms
96, 2, 1, 66192, 6.746559458s
16, 1, 0, 55, 36.296958ms
25, 1, 0, 11, 94.866792ms
34, 2, 0, 9290, 1.306421250s
16, 1, 0, 2, 53.378541ms
91, 3, 0, 36, 18.996178541s
20, 1, 0, 65, 63.633667ms
36, 1, 0, 8, 188.215750ms
13, 2, 1, 3378, 96.035125ms
47, 3, 2, 376033, 15.630098959s
75, 2, 1, 11146, 3.462733708s
13, 2, 0, 56, 66.741041ms
88, 2, 1, 84840, 6.468260666s
20, 1, 0, 2, 66.797625ms
19, 1, 0, 18, 60.287167ms
78, 1, 0, 23, 1.963763125s
58, 2, 1, 52570, 2.481332292s
53, 2, 0, 207, 2.305890458s
67, 2, 0, 152, 3.706248292s
59, 1, 0, 176, 923.416958ms
30, 2, 1, 3151, 670.559709ms
5, 2, 1, 4661, 76.930375ms
13, 2, 1, 13464, 581.475ms
15, 1, 0, 20, 27.185792ms
23, 2, 1, 20487, 837.924042ms
59, 1, 0, 4, 691.642459ms
78, 1, 0, 28, 1.868973167s
36, 2, 1, 21811, 772.384875ms
31, 1, 0, 6, 137.997500ms
61, 2, 1, 3086, 1.985388791s
16, 1, 0, 25, 34.497416ms
47, 1, 0, 3, 516.922625ms
24, 1, 0, 48, 74.628917ms
71, 1, 0, 22, 1.459791042s
48, 1, 0, 57, 581.566791ms
54, 1, 0, 2, 684.199959ms
32, 1, 0, 3, 158.165291ms
26, 1, 0, 43, 104.975958ms
58, 3, 2, 18231184, 22.672732166s
25, 1, 0, 58, 100.498250ms
18, 1, 0, 46, 39.112584ms
72, 1, 0, 72, 1.296140958s
16, 1, 0, 7, 28.378917ms
32, 3, 1, 756205, 10.375054s
11, 2, 1, 7145, 195.312292ms
16, 1, 0, 15, 41.336791ms
9, 3, 0, 226858, 247.038375ms
8, 1, 0, 38, 17.844166ms
44, 1, 0, 6, 490.671750ms
83, 1, 0, 26, 2.172958250s
22, 1, 0, 4, 61.091834ms
16, 2, 0, 165, 81.271458ms
9, 2, 1, 1667, 54.238917ms
19, 2, 1, 12210, 160.695917ms
49, 2, 1, 58508, 1.558531666s
18, 1, 0, 67, 45.022167ms
33, 1, 0, 2, 355.701833ms
6, 2, 1, 4189, 82.185083ms
35, 1, 0, 17, 199.235833ms
20, 1, 0, 92, 49.968125ms
13, 1, 0, 66, 34.817750ms
56, 3, 2, 170260, 6.353448542s
55, 1, 0, 51, 663.719167ms
86, 1, 0, 64, 2.442332583s
75, 2, 1, 969, 3.085046792s
36, 2, 1, 26836, 599.251792ms
48, 1, 0, 4, 575.793708ms
39, 1, 0, 6, 377.617708ms
78, 2, 0, 49, 5.592604125s
30, 2, 1, 17095, 730.776834ms
82, 3, 1, 2758945, 23.832709083s
45, 1, 0, 30, 373.900917ms
5, 2, 1, 6848, 90.998417ms
27, 2, 1, 21866, 494.386625ms
17, 1, 0, 38, 33.921666ms
49, 1, 0, 94, 468.349083ms
55, 1, 0, 86, 782.051500ms
82, 1, 0, 4, 1.966948250s
9, 1, 0, 5, 9.451291ms
54, 1, 0, 7, 813.235333ms
37, 2, 1, 23858, 673.090584ms
49, 2, 1, 43970, 1.165451958s
18, 1, 0, 37, 53.542625ms
50, 1, 0, 6, 686.082ms
40, 3, 0, 143380, 2.565339041s
34, 1, 0, 2, 188.917459ms
11, 1, 0, 8, 13.923042ms
50, 2, 1, 27314, 1.403273208s
25, 1, 0, 16, 93.017208ms
39, 2, 1, 24705, 1.902295583s
16, 2, 1, 14948, 146.008542ms
63, 1, 0, 102, 1.202283416s
25, 1, 0, 2, 100.232916ms
12, 2, 1, 3118, 85.236417ms
44, 2, 1, 33727, 2.456711667s
15, 1, 0, 80, 35.015167ms
60, 1, 0, 13, 984.521042ms
49, 1, 0, 16, 596.228834ms
81, 2, 0, 56, 6.064947083s
84, 1, 0, 49, 2.251133375s
11, 2, 1, 6340, 176.038666ms
73, 1, 0, 4, 1.561025333s
26, 2, 1, 5204, 357.353292ms
29, 2, 1, 25506, 580.406ms
20, 1, 0, 13, 61.058541ms
92, 1, 0, 4, 2.864402167s
39, 1, 0, 28, 876.739750ms
