length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
32,1,239,5148,3,160,70,0
20,4,30627,58108,122792,459,12892,-1
29,1,112,1085,63,145,207,0
12,4,30042,51666,30571,275,13480,1096
15,2,613,1546,1751,151,538,260
38,1,26,5383,28,190,147,0
40,3,9969,42016,10537,641,962,0
15,4,30054,52872,76482,344,2907,1
19,1,1,1011,3,95,41,0
20,3,15400,24189,14116,321,2634,0
18,1,24,763,54,90,250,0
21,1,3,334,7,105,48,0
39,1,47,14789,59,195,244,0
29,1,3,3437,4,145,72,0
33,3,8267,33848,6132,529,2330,0
21,3,310,10526,457,337,992,0
19,3,19773,29639,28151,305,2240,0
36,2,1072,31862,882,361,255,38
30,3,1840,36650,2327,481,259,0
22,1,29,2883,59,110,185,0
20,3,30063,40015,82259,321,7678,0
27,4,30498,107841,142611,620,39100,-1
23,3,70,8429,129,369,422,0
38,3,3276,32819,1444,609,1307,0
27,3,30025,69823,35816,433,3854,181
17,1,9,764,31,85,119,0
38,2,18837,31248,7957,381,2436,2
28,1,1,2089,3,140,66,0
29,3,30013,43136,13718,465,3561,3514
26,3,30023,63140,11848,417,7834,1217
22,1,1,4131,4,110,65,0
20,1,27,960,68,100,284,0
17,3,30048,42342,40283,273,4075,0
21,1,0,1591,1,105,44,0
32,3,232,17391,169,513,94,0
30,1,1,3769,2,150,73,0
26,2,2839,16119,635,261,1428,11
33,2,10443,29070,7251,331,2424,15
22,4,12112,45114,27951,505,796,183
20,2,1594,7825,2195,201,1538,0
12,3,30131,40540,219177,193,9994,0
35,1,22,4770,27,175,132,0
19,2,7840,12970,13228,191,2417,2580
23,2,1673,4255,2022,231,949,460
32,2,3852,11597,1738,321,1451,1174
28,3,30027,54691,22801,449,584,0
26,3,292,43793,216,417,82,0
35,2,7385,21227,3711,351,3094,36
15,2,238,5376,674,151,310,158
13,2,628,2141,1817,131,919,0
30,2,15221,39009,4896,301,4143,1798
19,3,867,9754,1202,305,655,101
34,3,30008,173208,3451,545,27203,2166
36,3,30024,80096,28492,577,4480,0
12,3,9776,16827,17878,193,3886,3162
15,1,9,429,29,75,105,0
33,3,836,33888,747,529,148,0
28,1,163,1943,58,140,365,0
31,4,30103,195597,71996,712,21823,-1
19,2,8667,15202,10695,191,3030,5060
25,1,1,2659,1,125,50,0
16,3,27351,39156,34515,257,3267,-1
22,1,9,1590,19,110,160,0
38,2,3095,15296,3930,381,376,0
25,2,8994,13377,8803,251,1902,2697
29,3,30311,64485,107944,465,6233,0
27,1,33,851,60,135,194,0
32,2,255,9555,204,321,185,0
14,1,3,173,7,70,45,0
24,2,1,5876,1,241,48,0
36,1,3,2007,4,180,82,0
16,1,4,473,13,80,46,0
20,2,6499,15019,6068,201,2448,2606
23,3,1160,14735,2100,369,123,0
