lev distance,milliseconds,samples drawn,productions
1, 19, 3, 97
2, 45, 34, 3259
3, 42, 39, 2732
2, 21, 72, 1802
1, 1, 2, 224
1, 2, 14, 437
1, 0, 3, 58
3, 325, 3921, 7071
1, 0, 2, 67
1, 1, 5, 153
3, 82, 23, 9759
3, 3571, 29886, 8994
1, 2, 17, 141
1, 0, 1, 52
2, 8, 165, 1684
2, 0, 1, 56
1, 0, 2, 76
1, 2, 22, 232
1, 0, 1, 65
1, 1, 8, 145
2, 0, 1, 80
1, 0, 5, 101
1, 10, 24, 158
1, 7, 57, 393
3, 4150, 48173, 13576
1, 0, 1, 72
1, 0, 1, 81
1, 0, 2, 117
1, 1, 1, 267
2, 3, 4, 854
2, 17, 3, 1722
2, 15, 228, 1307
1, 1, 17, 163
2, 103, 705, 1624
1, 0, 1, 68
2, 3, 58, 417
2, 56, 339, 2383
1, 0, 7, 100
1, 1, 8, 161
2, 0, 20, 146
2, 17, 175, 1763
1, 0, 3, 180
1, 0, 5, 152
1, 0, 1, 309
1, 0, 1, 52
3, 183, 3028, 3599
1, 0, 8, 106
1, 0, 1, 82
1, 2, 22, 250
1, 0, 3, 68
1, 0, 2, 73
1, 2, 18, 169
2, 81519, 4500, 1829
1, 24, 62, 282
1, 1, 4, 64
2, 6, 32, 971
1, 0, 3, 255
3, 3454, 13921, 4621
1, 2, 12, 91
1, 0, 1, 154
2, 322, 2137, 2227
2, 27, 305, 1888
2, 0, 3, 206
2, 3, 163, 279
2, 14, 362, 961
1, 0, 5, 100
1, 0, 1, 129
2, 150, 772, 952
2, 1, 12, 105
3, 5, 52, 162
1, 0, 1, 60
1, 0, 6, 364
3, 12, 39, 684
1, 0, 4, 60
2, 11, 135, 1613
1, 0, 18, 231
2, 5, 95, 100
2, 70, 127, 191
2, 1, 27, 334
1, 0, 5, 258
2, 0, 1, 60
1, 0, 2, 142
1, 0, 12, 105
1, 2, 20, 145
1, 48, 29, 146
2, 4, 50, 334
2, 9, 95, 131
1, 0, 2, 129
1, 0, 10, 177
1, 0, 4, 176
1, 1, 9, 388
1, 1, 29, 178
1, 0, 1, 52
1, 0, 2, 115
1, 0, 1, 56
1, 0, 7, 81
2, 4, 78, 116
1, 237, 6, 117
2, 500, 1303, 1002
1, 0, 2, 91
1, 1, 30, 298
1, 0, 7, 168
1, 0, 3, 69
1, 0, 4, 135
1, 0, 3, 111
1, 0, 4, 114
1, 0, 1, 84
1, 0, 6, 124
1, 0, 6, 157
1, 0, 2, 106
1, 0, 1, 77
2, 26, 20, 2189
2, 453, 322, 198
1, 0, 5, 136
1, 0, 15, 158
2, 7, 63, 507
1, 0, 1, 129
1, 0, 3, 79
1, 1, 28, 172
1, 1, 21, 160
1, 0, 5, 127
2, 2, 53, 184
2, 2, 41, 99
1, 0, 2, 158
2, 459, 1172, 1332
1, 0, 3, 61
1, 0, 1, 64
1, 2, 11, 92
1, 0, 4, 59
3, 41, 1532, 217
3, 98, 2116, 1911
1, 0, 1, 83
2, 38, 15, 3442
2, 0, 4, 180
1, 0, 1, 72
1, 0, 13, 207
1, 0, 3, 93
1, 0, 1, 66
3, 289, 274, 4542
1, 0, 4, 117
1, 0, 7, 161
1, 0, 1, 50
1, 0, 3, 59
2, 2, 14, 807
2, 1, 17, 127
1, 0, 2, 137
1, 0, 2, 108
1, 1, 6, 178
1, 0, 3, 133
1, 3, 33, 181
2, 18421, 3774, 1316
1, 0, 1, 68
2, 3, 59, 142
1, 0, 1, 107
1, 1, 5, 104
1, 15, 30, 145
1, 0, 6, 77
1, 0, 1, 146
2, 12, 1, 1565
1, 0, 1, 50
2, 238, 365, 236
1, 0, 2, 153
1, 0, 1, 68
1, 0, 4, 231
3, 169, 1348, 6350
3, 110, 980, 3181
1, 0, 3, 144
1, 1, 14, 179
1, 0, 2, 58
1, 11, 18, 304
3, 1, 41, 169
1, 0, 1, 54
1, 3, 43, 390
3, 70, 2292, 2074
2, 24, 114, 1690
2, 0, 1, 72
2, 7, 101, 1116
1, 0, 5, 66
1, 0, 8, 158
2, 0, 6, 77
1, 0, 3, 107
2, 30502, 1120, 1343
1, 0, 3, 75
1, 1, 10, 329
1, 0, 3, 233
1, 23, 24, 172
1, 0, 2, 103
1, 0, 5, 176
3, 4588, 6633, 1826
1, 0, 6, 156
2, 5, 61, 325
1, 0, 1, 42
1, 0, 2, 112
1, 0, 7, 164
1, 0, 4, 160
1, 0, 4, 236
1, 0, 1, 68
2, 1029, 1278, 1271
1, 0, 9, 125
2, 2, 18, 449
2, 4, 32, 135
1, 2, 14, 491
1, 0, 6, 180
1, 0, 18, 127
1, 0, 10, 253
3, 2993, 17055, 2765
1, 1, 8, 332
2, 114426, 2161, 1130
1, 5, 33, 206
1, 1, 18, 154
1, 1, 16, 195
1, 0, 13, 138
1, 0, 1, 48
1, 0, 1, 157
1, 1, 3, 435
1, 0, 1, 77
1, 0, 4, 93
1, 0, 4, 166
2, 8997, 1514, 855
2, 2, 29, 194
1, 0, 2, 336
2, 1, 22, 246
1, 0, 6, 196
1, 0, 7, 106
1, 0, 7, 138
2, 4, 96, 262
1, 0, 2, 65
2, 39, 193, 593
1, 1, 13, 105
2, 52, 482, 1993
2, 1, 11, 181
1, 1, 15, 230
1, 0, 3, 127
2, 0, 3, 98
2, 0, 8, 169
2, 4, 140, 266
1, 0, 1, 105
1, 0, 3, 82
1, 0, 2, 136
1, 0, 4, 138
1, 0, 2, 143
