1, 10002 ms, 47128 ms, 11, 97 prods, 0
2, 10001 ms, 185881 ms, 4170, 3259 prods, 3410
3, 10001 ms, 276640 ms, 7592, 2732 prods, 6746
2, 10001 ms, 78147 ms, 1238, 1802 prods, 1077
1, 10001 ms, 56034 ms, 9, 224 prods, 2
1, 10001 ms, 56531 ms, 61, 437 prods, 46
1, 10000 ms, 16906 ms, 5, 58 prods, 4
3, 10000 ms, 189566 ms, 29645, 7071 prods, 0
1, 10000 ms, 17645 ms, 10, 67 prods, 3
1, 10000 ms, 33193 ms, 28, 153 prods, 0
3, 10000 ms, 303112 ms, 11978, 9759 prods, 265
3, 10000 ms, 173681 ms, 46670, 8994 prods, 34288
1, 10000 ms, 33455 ms, 23, 141 prods, 2
1, 10000 ms, 19228 ms, 7, 52 prods, 0
2, 10000 ms, 59292 ms, 942, 1684 prods, 0
2, 10000 ms, 53047 ms, 1, 56 prods, 0
1, 10000 ms, 28280 ms, 5, 76 prods, 0
1, 10000 ms, 23239 ms, 27, 232 prods, 22
1, 10000 ms, 26184 ms, 2, 65 prods, 0
1, 10000 ms, 47172 ms, 13, 145 prods, 0
2, 10001 ms, 140862 ms, 1, 80 prods, 0
1, 10000 ms, 17607 ms, 20, 101 prods, 14
1, 10000 ms, 27918 ms, 33, 158 prods, 1
1, 10000 ms, 42220 ms, 67, 393 prods, 2
1, 10000 ms, 45440 ms, 1, 72 prods, 0
1, 10000 ms, 18193 ms, 2, 81 prods, 1
1, 10000 ms, 36962 ms, 9, 117 prods, 6
1, 10000 ms, 22983 ms, 34, 267 prods, 0
2, 10000 ms, 51985 ms, 1325, 854 prods, 0
2, 10001 ms, 153156 ms, 1531, 1722 prods, 1431
2, 10000 ms, 58430 ms, 1075, 1307 prods, 42
1, 10000 ms, 51347 ms, 29, 163 prods, 0
2, 10000 ms, 103746 ms, 4312, 1624 prods, 0
1, 10000 ms, 35446 ms, 1, 68 prods, 0
2, 10000 ms, 46950 ms, 555, 417 prods, 1
2, 10000 ms, 137714 ms, 4904, 2383 prods, 4831
1, 10000 ms, 20233 ms, 18, 100 prods, 0
1, 10000 ms, 21912 ms, 16, 161 prods, 12
2, 10000 ms, 57155 ms, 147, 146 prods, 0
2, 10000 ms, 54741 ms, 2390, 1763 prods, 2286
1, 10000 ms, 61599 ms, 28, 180 prods, 0
1, 10000 ms, 24442 ms, 15, 152 prods, 12
1, 10000 ms, 23425 ms, 58, 309 prods, 51
