lev,milliseconds,samples,productions,rank
1, 499, 66, 512, 62
3, 5, 5, 83, 4
2, 1393, 725, 1674, 941
3, 6526, 985, 2513, 11440
1, 298, 14, 207, 0
2, 2484, 889, 1773, 3308
1, 363, 17, 168, 0
1, 25, 17, 163, 0
1, 0, 3, 23, 0
1, 44, 21, 166, 0
2, 4394, 358, 2248, 2644
3, 3815, 487, 2079, 120
1, 2, 3, 96, 1
1, 1, 3, 62, 2
2, 288, 60, 122, 0
2, 450, 376, 1446, 2343
1, 1, 1, 58, 0
2, 718, 281, 297, 2
3, 12039, 1607, 2773, 14
1, 21, 18, 138, 0
1, 18, 47, 251, 48
2, 978, 298, 907, 0
1, 1, 7, 22, 0
1, 1, 16, 49, 11
1, 1, 1, 68, 0
2, 7, 15, 161, 1
3, 30044, 8180, 5134, 73
3, 10, 34, 164, 33
2, 7537, 1061, 2252, 0
1, 68, 19, 103, 0
2, 1160, 1078, 1235, 2
1, 11, 15, 218, 16
3, 2358, 3703, 2675, 1
2, 335, 467, 481, 441
2, 1345, 693, 2953, 6
1, 8, 32, 161, 28
1, 0, 3, 27, 0
1, 2, 9, 56, 4
3, 8645, 4423, 5876, 0
1, 2, 1, 50, 0
2, 2507, 216, 2347, 271
1, 3, 6, 79, 5
1, 14, 26, 141, 0
1, 189, 57, 539, 55
2, 96, 1, 68, 0
1, 16, 14, 307, 0
3, 30043, 8476, 5503, 0
2, 2411, 548, 1537, 1572
3, 30018, 6378, 9752, 0
1, 1, 11, 34, 0
3, 7654, 1719, 4245, 65
1, 3, 16, 138, 10
1, 0, 9, 22, 1
1, 7, 13, 148, 0
2, 1426, 764, 1720, 2187
1, 12, 21, 147, 0
2, 3842, 997, 2123, 0
2, 1, 1, 74, 0
1, 2, 10, 79, 7
1, 20, 25, 209, 24
2, 612, 576, 1462, 0
3, 17642, 2214, 5625, 29627
1, 1, 4, 31, 0
3, 20943, 2232, 2732, 10929
2, 1, 1, 104, 0
3, 1153, 318, 1035, 0
3, 30023, 6504, 5362, 30032
2, 842, 836, 1536, 1910
2, 228, 380, 425, 0
1, 3, 13, 100, 0
1, 21, 63, 264, 64
1, 0, 1, 50, 0
2, 3697, 840, 2459, 0
3, 21196, 2957, 9597, 19240
2, 372, 310, 534, 0
1, 156, 51, 175, 0
1, 1, 1, 102, 0
2, 834, 548, 1047, 0
1, 21, 27, 172, 7
1, 6, 36, 128, 17
1, 3, 5, 146, 2
1, 2, 10, 100, 0
2, 6737, 1490, 2406, 8197
3, 10494, 3599, 345, 120
3, 26326, 4236, 8617, 29328
2, 1398, 657, 1691, 1886
1, 12, 26, 140, 1
3, 30037, 3460, 8920, 0
1, 1, 3, 112, 1
1, 0, 4, 25, 1
1, 7, 11, 123, 9
