length, lev_dist, samples, productions, edit1, edit2, edit3
24, 2, 8339, 241, 1910, I::(::22, I::)::24
27, 2, 1908, 271, 994, D::>>::0, D::>::1
31, 2, 5235, 311, 1554, I::{::26, I::}::30
34, 2, 2581, 341, 1342, D::%::0, D::%::1
27, 2, 2244, 271, 1213, D::>>::4, D::>::5
31, 2, 2202, 311, 1165, D::>>::0, D::>::1
30, 3, 43863, 481, 4350, I::=::1, S::NAME::{::2, S:::::}::3
24, 2, 5144, 241, 1370, D::}::7, D::{::9
39, 2, 9954, 391, 2488, I::(::35, I::)::39
41, 2, 7619, 411, 1800, I::(::3, I::)::41
25, 3, 79940, 401, 11096, I::{::0, D::NEWLINE::5, I::}::24
27, 2, 2343, 271, 1267, D::>>::8, D::>::9
26, 2, 576, 261, 226, D::NUMBER::8, D::NUMBER::19
29, 2, 12098, 291, 2617, I::(::5, I::)::11
29, 2, 7338, 291, 2289, I::(::18, S::NAME::)::19
31, 2, 1955, 311, 1575, I::[::3, S::.::]::5
25, 2, 8508, 251, 1955, I::(::23, I::)::25
30, 3, 262599, 481, 66391, D::(::3, S::STRING::,::4, S::,::NEWLINE::5
23, 2, 5139, 231, 1561, S::NEWLINE::(::2, I::)::22
32, 2, 7758, 321, 1979, I::(::30, I::)::32
21, 2, 1659, 211, 887, D::>>::0, D::>::1
29, 2, 2709, 291, 1568, D::>>::0, D::>::1
39, 2, 9639, 391, 2632, I::(::31, I::)::39
37, 2, 8840, 371, 2290, I::(::35, I::)::37
30, 2, 5716, 301, 1526, I::[::17, I::]::21
22, 2, 5786, 221, 2410, I::(::10, I::)::15
22, 2, 1418, 221, 767, D::>>::0, D::>::1
26, 2, 3902, 261, 1295, D::NUMBER::13, D:::::14
22, 2, 4782, 221, 1642, I::(::0, I::)::22
32, 3, 88264, 513, 22071, I::{::0, I::STRING::1, I:::::2
32, 2, 2769, 321, 1914, I::import::9, I::*::10
32, 2, 2284, 321, 1231, D::>>::0, D::>::1
33, 2, 757, 331, 242, D::NUMBER::0, D::NUMBER::28
32, 2, 13209, 321, 6158, I::[::26, I::NUMBER::27
24, 2, 3964, 241, 1470, D::NUMBER::0, D::)::1
23, 3, 44183, 369, 4606, I::(::18, S::NUMBER::,::20, S::NAME::)::21
34, 2, 5719, 341, 1873, I::(::32, S::STRING::)::33
36, 2, 838, 361, 255, D::NUMBER::0, D::NUMBER::29
25, 2, 4813, 251, 1494, I::{::17, I::}::24
25, 2, 762, 251, 226, D::NUMBER::0, D::NUMBER::20
34, 2, 10652, 341, 2377, I::(::32, I::)::34
25, 3, 79818, 401, 11096, I::{::0, D::NEWLINE::5, I::}::24
24, 3, 19274, 385, 2714, S::=:::::4, S::=:::::8, S::=:::::12
35, 2, 3657, 351, 1057, I::{::23, I::}::31
25, 3, 79075, 401, 11096, I::{::0, D::NEWLINE::5, I::}::24
38, 2, 8674, 381, 2159, I::(::36, I::)::38
26, 3, 43498, 417, 8661, D::NAME::22, D::NAME::23, D::NAME::24
35, 2, 15577, 351, 5105, S::[::(::17, I::)::33
27, 2, 2145, 271, 1103, D::>>::0, D::>::1
23, 2, 5884, 231, 2122, I::(::14, I::)::18
33, 3, 8833, 529, 552, D::NUMBER::23, D::NUMBER::26, D::NUMBER::29
22, 3, 34034, 353, 4834, D::NAME::0, D::NAME::1, D::NAME::2
31, 2, 8281, 311, 2096, I::(::29, I::)::31
28, 3, 112525, 449, 33972, I::)::25, I:::::26, I::(::27
27, 2, 7118, 271, 1884, I::(::25, S::NAME::)::26
27, 2, 4468, 271, 1346, I::(::5, I::)::27
36, 3, 19626, 577, 2268, D::NAME::0, D::STRING::1, D::<::5
